WKT,unnamed (1),id,lat,lon
"POINT (106.66761610768886 10.800181802675446)",104.0,106,1.0800181802675446E16,1.0666761610768886E16
"POINT (106.66209551455303 10.79187936609247)",105.0,107,1.079187936609247E15,1.0666209551455304E16
"POINT (106.66206332804485 10.79139456785105)",106.0,108,1.079139456785105E15,1.0666206332804484E16
"POINT (106.6720935 10.7829234)",107.0,109,1.07829234E8,1.066720935E9
"LINESTRING (106.67440457081288 10.767697936760955, 106.68171090816945 10.765502988216346)",108.0,edge-1,,
"LINESTRING (106.67440457081288 10.767697936760955, 106.67647823898406 10.762256648455452)",109.0,edge-2,,
"LINESTRING (106.67440457081288 10.767697936760955, 106.66900024025054 10.759885111919823)",110.0,edge-3,,
"LINESTRING (106.66637167541595 10.756248719669571, 106.66900024025054 10.759885111919823)",111.0,edge-4,,
"LINESTRING (106.68171090816945 10.765502988216346, 106.67712196914763 10.76035942071941)",112.0,edge-5,,
"LINESTRING (106.67647823898406 10.762256648455452, 106.67712196914763 10.76035942071941)",113.0,edge-6,,
"LINESTRING (106.67712196914763 10.76035942071941, 106.67413935272307 10.75751355673015)",114.0,edge-7,,
"LINESTRING (106.66637167541595 10.756248719669571, 106.67413935272307 10.75751355673015)",115.0,edge-8,,
"LINESTRING (106.67647823898406 10.762256648455452, 106.67501911727996 10.761171014045628)",116.0,edge-9,,
"LINESTRING (106.67501911727996 10.761171014045628, 106.66900024025054 10.759885111919823)",117.0,edge-10,,
"LINESTRING (106.66900024025054 10.759885111919823, 106.66637167541595 10.756248719669571)",118.0,edge-11,,
"LINESTRING (106.66900024025054 10.759885111919823, 106.66712269394012 10.76765346503475)",119.0,edge-12,,
"LINESTRING (106.66712269394012 10.76765346503475, 106.66002020446868 10.763911765883877)",120.0,edge-13,,
"LINESTRING (106.66002020446868 10.763911765883877, 106.65708050338836 10.762256971443465)",121.0,edge-14,,
"LINESTRING (106.66002020446868 10.763911765883877, 106.65809974281402 10.770383295097414)",122.0,edge-15,,
"LINESTRING (106.66002020446868 10.763911765883877, 106.6624556502542 10.75539527465039)",123.0,edge-16,,
"LINESTRING (106.65809974281402 10.770383295097414, 106.66354999153228 10.776475259064203)",124.0,edge-17,,
"LINESTRING (106.66354999153228 10.776475259064203, 106.65876493064971 10.780764855228593)",125.0,edge-18,,
"LINESTRING (106.65876493064971 10.780764855228593, 106.65621146766753 10.777950802726458)",126.0,edge-19,,
"LINESTRING (106.66354999153228 10.776475259064203, 106.66560992805572 10.777877025715135)",127.0,edge-20,,
"LINESTRING (106.66560992805572 10.777877025715135, 106.67074904052825 10.769740364375355)",128.0,edge-21,,
"LINESTRING (106.67074904052825 10.769740364375355, 106.66712269394012 10.76765346503475)",129.0,edge-22,,
"LINESTRING (106.66712269394012 10.76765346503475, 106.66354999153228 10.776475259064203)",130.0,edge-23,,
"LINESTRING (106.67074904052825 10.769740364375355, 106.67440457081288 10.767697936760955)",131.0,edge-24,,
"LINESTRING (106.67314461089977 10.770844096190466, 106.67440457081288 10.767697936760955)",132.0,edge-25,,
"LINESTRING (106.67314461089977 10.770844096190466, 106.68163942572494 10.777838880769755)",133.0,edge-26,,
"LINESTRING (106.68163942572494 10.777838880769755, 106.6837768874348 10.77672525861494)",134.0,edge-27,,
"LINESTRING (106.6837768874348 10.77672525861494, 106.67440457081288 10.767697936760955)",135.0,edge-28,,
"LINESTRING (106.6837768874348 10.77672525861494, 106.68686640174906 10.775025089907869)",136.0,edge-29,,
"LINESTRING (106.68686640174906 10.775025089907869, 106.68960225494425 10.773612770253933)",137.0,edge-30,,
"LINESTRING (106.68960225494425 10.773612770253933, 106.68439876945536 10.768269082965919)",138.0,edge-31,,
"LINESTRING (106.68439876945536 10.768269082965919, 106.68171090816945 10.765502988216346)",139.0,edge-32,,
"LINESTRING (106.6934109917454 10.771325641540948, 106.69674765975992 10.77117808425332)",140.0,edge-33,,
"LINESTRING (106.69404399307291 10.770039782747464, 106.6934109917454 10.771325641540948)",141.0,edge-34,,
"LINESTRING (106.69404399307291 10.770039782747464, 106.69473063858072 10.769175513916302)",142.0,edge-35,,
"LINESTRING (106.69473063858072 10.769175513916302, 106.68828260810892 10.766698632189135)",143.0,edge-36,,
"LINESTRING (106.68828260810892 10.766698632189135, 106.68439876945536 10.768269082965919)",144.0,edge-37,,
"LINESTRING (106.68828260810892 10.766698632189135, 106.68663036735575 10.76253531703015)",145.0,edge-38,,
